"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Survey response rate,Footnote for Survey response rate,Footnote Number
037162,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037178,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037185,3,,2,,84,,3,,82,,2,,74,,3,,83,,73,,70,,22,,
037188,4,11,4,11,88,11,5,11,88,11,4,11,87,11,4,11,92,11,83,11,66,11,21,11,11
037192,3,,4,,88,,3,,82,,3,,83,,3,,82,,79,,330,,26,,
037199,4,,4,,93,,4,,89,,4,,85,,4,,89,,83,,333,,25,,
037202,3,,3,,88,,3,,81,,2,,78,,3,,86,,72,,202,,20,,
037204,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037205,Not Available,9,Not Available,9,100,9,Not Available,9,91,9,Not Available,9,78,9,Not Available,9,73,9,38,9,3,9,23,9,9
037206,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037212,Not Available,11,Not Available,11,74,11,Not Available,11,72,11,Not Available,11,55,11,Not Available,11,65,11,48,11,31,11,23,11,11
037213,4,,4,,90,,4,,86,,2,,77,,4,,89,,80,,319,,30,,
037215,4,,3,,87,,4,,84,,4,,85,,3,,87,,78,,90,,27,,
037217,3,,3,,86,,4,,83,,3,,82,,3,,84,,80,,219,,44,,
037220,3,,3,,86,,2,,78,,2,,72,,3,,78,,73,,194,,23,,
037221,3,,2,,84,,4,,82,,2,,74,,2,,74,,67,,141,,25,,
037226,2,,2,,86,,2,,81,,2,,78,,3,,83,,72,,334,,19,,
037228,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037229,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037230,4,,4,,92,,5,,89,,3,,79,,4,,89,,79,,167,,41,,
037231,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037232,4,11,3,11,88,11,4,11,83,11,4,11,87,11,3,11,77,11,77,11,52,11,15,11,11
037233,Not Available,11,Not Available,11,79,11,Not Available,11,86,11,Not Available,11,81,11,Not Available,11,82,11,82,11,24,11,17,11,11
037234,Not Available,11,Not Available,11,93,11,Not Available,11,66,11,Not Available,11,74,11,Not Available,11,88,11,53,11,11,11,12,11,11
037235,2,,2,,83,,2,,78,,1,,70,,2,,78,,65,,296,,17,,
037239,2,,2,,85,,2,,77,,2,,73,,3,,78,,70,,326,,25,,
037242,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037243,Not Available,9,Not Available,9,95,9,Not Available,9,92,9,Not Available,9,93,9,Not Available,9,100,9,90,9,7,9,7,9,9
037245,2,,2,,84,,2,,79,,2,,72,,3,,77,,67,,144,,27,,
037246,3,,3,,89,,3,,85,,1,,68,,3,,83,,76,,85,,22,,
037247,4,,3,,87,,4,,87,,3,,79,,4,,89,,78,,112,,34,,
037248,2,,2,,83,,3,,80,,2,,75,,2,,74,,68,,230,,32,,
037249,3,,4,,92,,4,,88,,2,,77,,3,,85,,82,,135,,15,,
037250,2,,2,,83,,2,,76,,2,,75,,2,,76,,66,,120,,24,,
037251,Not Available,9,Not Available,9,90,9,Not Available,9,73,9,Not Available,9,58,9,Not Available,9,56,9,63,9,8,9,22,9,9
037252,4,,4,,89,,4,,84,,3,,79,,3,,86,,79,,148,,38,,
037253,3,,3,,86,,4,,83,,2,,77,,3,,83,,76,,189,,21,,
037257,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037258,2,,2,,87,,4,,87,,1,,68,,2,,75,,69,,72,,17,,
037260,4,,4,,89,,4,,83,,3,,79,,3,,86,,78,,250,,22,,
037261,Not Available,9,Not Available,9,100,9,Not Available,9,100,9,Not Available,9,100,9,Not Available,9,98,9,91,9,7,9,18,9,9
037262,3,,3,,87,,3,,79,,1,,70,,3,,80,,72,,200,,20,,
037263,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037264,3,,3,,89,,3,,81,,2,,75,,2,,78,,77,,211,,26,,
037265,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037269,2,,2,,85,,2,,81,,2,,78,,2,,76,,66,,92,,13,,
037271,2,,1,,81,,2,,79,,2,,72,,2,,74,,58,,114,,22,,
037273,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037274,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037280,4,,4,,91,,5,,90,,4,,87,,4,,89,,84,,168,,27,,
037281,4,,4,,89,,5,,87,,4,,86,,3,,83,,75,,222,,24,,
037282,3,,3,,89,,4,,85,,3,,82,,3,,84,,79,,102,,18,,
037285,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037286,Not Available,9,Not Available,9,91,9,Not Available,9,87,9,Not Available,9,80,9,Not Available,9,100,9,68,9,5,9,13,9,9
037288,2,,2,,83,,1,,73,,1,,67,,2,,75,,58,,269,,16,,
037290,3,11,3,11,88,11,4,11,85,11,2,11,75,11,4,11,86,11,79,11,69,11,17,11,11
037295,1,,1,,79,,1,,69,,1,,67,,1,,75,,63,,97,,19,,
037297,Not Available,11,Not Available,11,84,11,Not Available,11,73,11,Not Available,11,79,11,Not Available,11,80,11,76,11,24,11,10,11,11
037298,5,,5,,95,,5,,94,,4,,86,,5,,96,,91,,150,,25,,
037299,Not Available,11,Not Available,11,77,11,Not Available,11,77,11,Not Available,11,78,11,Not Available,11,79,11,79,11,39,11,25,11,11
037402,4,,4,,90,,4,,87,,3,,82,,3,,86,,83,,366,,36,,
037403,4,,4,,90,,4,,84,,4,,84,,4,,88,,82,,151,,30,,
037404,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037405,2,,2,,85,,3,,84,,2,,72,,2,,77,,66,,86,,19,,
037410,2,,2,,84,,2,,78,,2,,72,,3,,84,,69,,112,,17,,
037412,5,,4,,91,,5,,92,,5,,93,,4,,90,,86,,114,,31,,
037413,2,,1,,81,,2,,77,,3,,83,,3,,81,,69,,151,,43,,
037414,2,,2,,84,,2,,78,,1,,70,,2,,76,,72,,172,,14,,
037416,5,,5,,93,,5,,89,,4,,85,,5,,93,,84,,194,,29,,
037417,4,,4,,88,,5,,89,,3,,80,,4,,90,,80,,138,,21,,
037418,3,,3,,87,,4,,83,,2,,78,,4,,87,,84,,74,,15,,
037419,Not Available,11,Not Available,11,82,11,Not Available,11,77,11,Not Available,11,66,11,Not Available,11,68,11,61,11,31,11,25,11,11
